sample_id,lab_nr,density,odor_after,oder_before,foam,foam_height,ph,ec,ts_%,ts_gL,ts_expert,texture_cat,vs_%ts,ts_dewatered,dewatering_efficiency,cod_mg,cod,nh4_mg,nh4,cst,cst_norm,turbidity,TOC,TOC_gL,TKN,TKN_gL,CN,COD_TKN,COD_NH4,TOC_NH4,bulk_H,bulk_S,bulk_V,bulk_R,bulk_G,bulk_B,bulk_hex,super_H,super_S,super_V,super_R,super_G,super_B,super_hex,bulk_color,super_color,contrast,dissimilarity,homogeneity,ASM,energy,correlation,tank_depth,depth_probe,oss_l,oss_w,sludgeheight_st,settledsludge_st,dist2sludge,area_volaser,area,ratio_outvol,area_lw,oss_volume,fs_volume,fs_acc,sb_vol,sb_acc,local_area_name,origin,other,origin_simplified,establishment,nr_residents,building_type,,addl,roof_type,other1,addl2,occupation,education,other2,income,oss_type,oss_type_simplified,other3,baffle,outflow,outflow_to,toilet_type,toilet_type_simplified,nr_users,oss_age,cleansing_material,solid_waste,sw_type,additives,ww_type,seasonal,water_connection,last_emptied,fully_emptied,latitude,longitude,gps_acc,dewatered
201B.2019.11.28,417,1.0849,Stabilized,Middle,Yes,15,7.44,1.388,1.14,12.34,,,39.28,16.92,1384.210526,48000,48,245,0.25,NA,NA,67,12.8342246,1.583743316,3.68256,0.454427904,3.485136589,13.03441084,192,6.334973263,47,41,17,17,15.48983333,10.03,#2b271a,44,12,84,84,81.312,73.92,#d6cfbc,stabilized,stabilized,0.343417019,0.322507663,0.840687814,0.283486932,0.532434909,0.530157754,195,115,200,120,110,15,75,1.78,2.67,1.348314607,2.4,5.2065,3.204,53.4,0.4005,13.35,Chalala,Household,NA,Household,NA,3,Cement block walls,NA,NA,Corrugated iron,NA,NA,Business woman,Tertiary education,NA,I don't want to say,Septic tank,Septic tank,NA,Yes,Yes,Soak pit,Cistern flush,wet,3,10,Paper,No,,No,Toilet,No,Yes,I don't know,I don't know,-15.46461833,28.36039833,3.8,yes
198A.2019.11.28,418,1.0851,Middle,Fresh,Yes,5,7.92,19.25,7.33,79.51,,,47.64,NA,NA,35200,35.2,949,0.95,NA,NA,1297,16.47058824,13.09576471,2.41668,1.921502268,6.815378219,14.56543688,37.05263158,13.78501548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,140,160,150,NA,NA,109,2.08,2.08,NA,NA,4.888,2.6208,29.78181818,NA,NA,Mtendere East,Household,NA,Household,NA,4,Cement block walls,NA,NA,Corrugated iron,NA,NA,Business,Primary education,NA,501-1000 ZMK,Lined pit latrine - not sealed,Pit latrine,NA,NA,No,NA,Dry toilet,dry,4,11,Paper,Yes,Plastics,Ash,Toilet,Yes,No,Never emptied,No,-15.39692,28.36924333,4.9,NA
202A.2019.11.28,419,1.1615,Stabilized,Middle,No,0,7.08,11.34,13.91,161.58,,,70.17,NA,NA,217600,217.6,2561,2.56,NA,NA,NA,14.86631016,24.02098396,1.7262,2.78919396,8.61215975,126.0572355,85,9.383196858,50,48,30,30,27.6,15.6,#4c4628,NA,NA,NA,NA,NA,NA,NA,middle,NA,15.82121783,1.862513078,0.582009895,0.070851833,0.266180076,0.388991529,340,165,180,160,NA,NA,101,1.61,1.61,NA,NA,5.474,3.8479,76.958,NA,NA,Kabanana,Household,NA,Household,NA,5,Cement block walls,NA,NA,Corrugated iron,NA,NA,General worker,Secondary education,NA,1001-2000 ZMK,Lined pit latrine - completely sealed,Pit latrine,NA,NA,No,NA,Dry toilet,dry,5,5,Paper,No,,Chlorine,Bathing Toilet,Yes,Yes,Never emptied,No,-15.32333167,28.32049,4.9,no
203A.2019.11.28,420,1.2696,Fresh,Fresh,No,0,6.34,10.25,12.13,154.07,,,71.17,NA,NA,146133,146.1,3121,3.12,NA,NA,NA,14.11764706,21.75105883,3.43,5.284601,4.112055203,42.59475219,46.82692308,6.971493213,46,70,36,36,30.12,10.8,#5c4d1c,NA,NA,NA,NA,NA,NA,NA,fresh,NA,16.63855319,1.587946259,0.696212918,0.130910773,0.361815937,0.56072879,225,160,250,130,NA,NA,48,0.94,0.94,NA,NA,2.115,1.6638,30.81111111,NA,NA,Kalikiliki,Household,NA,Household,NA,9,Cement block walls,NA,NA,Corrugated iron,NA,NA,Works as house keeper,Primary education,NA,501-1000 ZMK,Lined pit latrine - completely sealed,Pit latrine,NA,NA,No,NA,Dry toilet,dry,9,3,Paper,Yes,Plastics,Chlorine,Toilet,No,No,Never emptied,No,-15.40903,28.36613833,4,no
204A.2019.11.28,421,1.2134,Middle,Middle,No,0,7.42,14.86,18.81,228.3,,,24.15,NA,NA,86400,86.4,3510,3.51,NA,NA,NA,10.80213904,24.66128343,1.4784,3.3751872,7.306641665,58.44155844,24.61538462,7.026006675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,130,150,130,NA,NA,128,1.4,1.4,NA,NA,3.29,1.498,13.87037037,NA,NA,Mtendere East,Household,NA,Household,NA,12,Brick walls,NA,NA,Metal sheets,NA,NA,Business,Secondary education,NA,>2000 ZMK,Lined pit latrine - completely sealed,Pit latrine,NA,NA,No,NA,Dry toilet,dry,12,9,Paper,Yes,Plastics,No,Toilet,No,Yes,Never emptied,System has never been emptied,-15.40026,28.37657,4.8,NA
202B.2019.11.28-1,422,1.0843,Stabilized,Middle,Yes,15,7.33,1.274,2.9,31.48,,,27.57,74.49,2468.62069,38400,38.4,176,0.18,NA,NA,161,11.22994652,3.535187164,1.2012,0.37813776,9.34893983,31.96803197,213.3333333,19.63992869,65,26,17,16.63166667,17,12.58,#2a2b20,47,9,95,95,93.1475,86.45,#f2eedc,stabilized,stabilized,1.635721289,0.484418768,0.803293227,0.143301254,0.378551522,0.80384757,240,185,240,220,180,45,76,1.52,1.52,NA,NA,3.648,2.4928,51.93333333,0.684,14.25,Woodlands,Household,NA,Household,NA,8,Cement block walls,NA,NA,Corrugated iron,NA,NA,Business man,Postgraduate education or higher,NA,I don't know,Septic tank,Septic tank,NA,No,Yes,Open drain,Cistern flush,wet,8,6,Paper,I don't know,,Enzymes,Toilet,I don't know,Yes,Never emptied,System has never been emptied,-15.46453167,28.34739667,3,yes
202B.2019.11.28-2,423,1.0793,Stabilized,Middle,Yes,17,7.31,1.247,2.58,27.83,,,29.66,NA,NA,28800,28.8,194,0.19,NA,NA,179,10.05347594,2.797882354,1.386,0.3857238,7.253590141,20.77922078,151.5789474,14.7256966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
203B.2019.11.28,424,1.1084,Stabilized,Middle,Yes,15,7.48,1.327,0.86,9.49,,,26.12,40.5,4609.302326,28800,28.8,167,0.17,NA,NA,468,13.90374332,1.319465241,1.2474,0.11837826,11.66339166,23.08802309,169.4117647,7.761560242,41,53,23,23,19.13983333,10.81,#3b311c,49,17,96,96,93.008,79.68,#f5edcb,stabilized,stabilized,0.397927424,0.370689902,0.817325873,0.202722344,0.450246981,0.796562653,270,130,230,230,120,60,126,2.86,4.29,1.84965035,5.29,11.583,6.1776,858,2.574,715,Woodlands,Household,NA,Household,NA,12,Cement block walls,NA,NA,Corrugated iron,NA,NA,Business man and woman,Postgraduate education or higher,NA,I don't know,Septic tank,Septic tank,NA,Yes,Yes,Soak pit,Cistern flush,wet,12,9,Paper,No,,Enzymes,Toilet,I don't know,Yes,0.3,I don't know,-15.4587,28.36036167,2,yes
204B.2019.11.28,425,1.0703,Middle,Middle,Yes,2,7.69,14.63,12.58,134.65,,,52.14,NA,NA,92800,92.8,2778,2.78,NA,NA,NA,16.89839572,22.75368984,1.2012,1.6174158,14.06792851,77.25607726,33.38129496,8.184780517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,100,150,150,NA,NA,98,NA,2.25,NA,NA,4.5,2.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
205B.2019.11.28,426,1.2047,Middle,Middle,No,0,7.42,17.12,14.16,170.61,,,66.14,NA,NA,163200,163.2,4742,4.74,NA,NA,NA,6.310160428,10.76576471,2.9568,5.04459648,2.13411811,55.19480519,34.43037975,2.271258377,49,58,29,29,25.91633333,12.18,#4a421f,NA,NA,NA,NA,NA,NA,NA,middle,NA,28.65004073,2.429210698,0.591304215,0.102743282,0.32053593,0.540380427,200,105,290,120,NA,NA,81,1.46,1.46,NA,NA,2.92,1.7374,21.7175,NA,NA,Bauleni,Household,NA,Household,NA,10,Cement block walls,NA,NA,Corrugated iron,NA,NA,Business man and woman,Tertiary education,NA,I don't know,Lined pit latrine - not sealed,Pit latrine,NA,NA,No,NA,Dry toilet,dry,10,8,Paper,Yes,Diapers and plastics,Chlorine,Toilet,Yes,Yes,Never emptied,System has never been emptied,-15.444815,28.37687,2,no
