sample_id,lab_nr,density,odor_after,oder_before,foam,foam_height,ph,ec,ts_%,ts_gL,ts_expert,texture_cat,vs_%ts,ts_dewatered,dewatering_efficiency,cod_mg,cod,nh4_mg,nh4,cst,cst_norm,turbidity,TOC,TOC_gL,TKN,TKN_gL,CN,COD_TKN,COD_NH4,TOC_NH4,bulk_H,bulk_S,bulk_V,bulk_R,bulk_G,bulk_B,bulk_hex,super_H,super_S,super_V,super_R,super_G,super_B,super_hex,bulk_color,super_color,contrast,dissimilarity,homogeneity,ASM,energy,correlation,tank_depth,depth_probe,oss_l,oss_w,sludgeheight_st,settledsludge_st,dist2sludge,area_volaser,area,ratio_outvol,area_lw,oss_volume,fs_volume,fs_acc,sb_vol,sb_acc,local_area_name,origin,other,origin_simplified,establishment,nr_residents,building_type,,addl,roof_type,other1,addl2,occupation,education,other2,income,oss_type,oss_type_simplified,other3,baffle,outflow,outflow_to,toilet_type,toilet_type_simplified,nr_users,oss_age,cleansing_material,solid_waste,sw_type,additives,ww_type,seasonal,water_connection,last_emptied,fully_emptied,latitude,longitude,gps_acc,dewatered
001.B.2019.09.19-1,1,NA,Stabilized,NA,Yes,0,7.732,5.16,4.29,NA,low,liquid,NA,NA,NA,NA,NA,600,0.6,345.4,80.4,371,NA,NA,NA,NA,NA,NA,NA,NA,52,32,10,10,9.573333333,6.8,#1a1811,52,43,80,80,75.41333333,45.6,#ccc074,stabilized,middle,0.337018392,0.074940502,0.971106521,0.831038116,0.91161292,0.247540408,320,45,NA,NA,NA,42,0.46,2.762534713,2.762534713,NA,NA,8.840111083,1.243140621,62.15703105,1.16026458,58.01322898,Misisi,Household,NA,Household,5 tenants ,16,Cement block walls,NA,All use same facility ,Corrugated iron,NA,NA,Transportation business,Secondary education,NA,501-1000 ZMK,Septic tank,Septic tank,NA,No,No,NA,Pour-flush,wet,20,1,Paper,No,NA,No,Toilet,I don't know,No,Never emptied,System has never been emptied,-15.43,28.28,4.9,yes
001.B.2019.09.19-2,2,NA,Stabilized,NA,Yes,4,7.728,5.21,3.93,NA,low,liquid,NA,NA,NA,NA,NA,400,0.4,350.5,89.2,419,NA,NA,NA,NA,NA,NA,NA,NA,60,56,13,13,13,5.72,#21210f,54,38,89,89,85.618,55.18,#e3da8d,stabilized,middle,0.164940766,0.164186732,0.917982037,0.578311386,0.760467873,0.423870072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
002.B.2019.09.19,3,NA,Middle,NA,No,0,7.947,13.41,12.93,NA,NA,NA,NA,NA,NA,NA,NA,2600,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,108,NA,NA,NA,NA,0.55,1.610938928,1.610938928,NA,NA,2.496955339,1.610938928,402.7347321,NA,NA,Misisi,Household,NA,Household,Number of houses,20,Cement block walls,NA,NA,Asbestos,NA,A few iron sheets on sides,Business,Primary education,NA,1001-2000 ZMK,Lined pit latrine - completely sealed,Pit latrine,NA,NA,No,NA,Pour-flush,wet,20,10,Paper,Yes,"Plastic bottles, and plastics",No,Toilet,Yes,Yes,0.1,No,-15.43408174,28.2819783,4.9,NA
003.B.2019.09.19,4,NA,Stabilized,NA,Yes,2,7.92,1.174,0.29,NA,low,flocs,NA,NA,NA,NA,NA,40,0.04,10.4,36.4,50.1,NA,NA,NA,NA,NA,NA,NA,NA,50,44,47,47,43.55333333,26.32,#786f43,72,2,86,85.656,86,84.28,#dadbd7,stabilized,stabilized,1.08849932,0.526375976,0.7702659,0.040001467,0.200003667,0.950492307,210,145,NA,NA,NA,NA,0.42,2.734248631,2.734248631,NA,NA,5.741922126,4.5935377,229.676885,NA,NA,Ibex Hill,Household,NA,Household,NA,5,Cement block walls,NA,NA,Corrugated iron,NA,NA,Accountant,Postgraduate education or higher,NA,>2000 ZMK,Septic tank,Septic tank,NA,No,No,NA,Cistern flush,wet,5,4,Paper,No,NA,No ,Toilet Bathing Laundry Kitchen,I don't know,Yes,Never emptied,System has never been emptied,-15.42081732,28.36462592,4.9,yes
005.B.2019.09.24,5,NA,Stabilized,NA,No,0,8.044,19.94,NA,NA,high,textured,NA,NA,NA,NA,NA,3017,3.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,13,15,14.61,15,13.05,#252621,NA,NA,NA,NA,NA,NA,NA,stabilized,NA,4.104867573,0.778428713,0.774295324,0.172617983,0.415473204,0.724265541,135,13,NA,NA,NA,NA,1.13,1.231546397,1.231546397,NA,NA,1.662587637,0.270940207,2.276808466,NA,NA,Mtendere,Household,NA,Household,NA,17,Cement block walls,NA,NA,Asbestos,NA,NA,Plumber,Secondary education,NA,1001-2000 ZMK,Lined pit latrine - Not sealed,Pit latrine,NA,NA,No,NA,Dry toilet,dry,17,7,Paper,No,NA,Ash,Kitchen Laundry,No,Yes,Never emptied,System has never been emptied,-15.40740338,28.35467084,4.9,no
006.B.2019.09.24,6,NA,Stabilized,NA,Yes,10,7.747,1.1849,NA,NA,low,liquid,NA,NA,NA,NA,NA,40,0.04,12.8,NA,33.3,NA,NA,NA,NA,NA,NA,NA,NA,39,43,31,31,26.3345,17.67,#4f432d,0,0,100,100,100,100,#ffffff,stabilized,stabilized,0.288638242,0.266656001,0.868369897,0.148461649,0.385307214,0.920757197,235,NA,NA,NA,NA,170,NA,3.839139647,3.839139647,NA,NA,9.021978172,6.526537401,203.9542938,6.526537401,203.9542938,Kabulonga,Household,NA,Household,NA,10,Cement block walls,NA,NA,Roof tiles,NA,NA,Business lady,Tertiary education,NA,>2000 ZMK,Septic tank,Septic tank,NA,I don't kNow,No,NA,Cistern flush,wet,8,5,Paper,No,NA,No,Toilet Bathing Laundry Kitchen,No,Yes,4,Yes,-15.41310916,28.34256286,4.9,yes
007.B.2019.09.24,7,NA,Stabilized,NA,Yes,0,7.544,1.578,NA,NA,middle,liquid,NA,NA,NA,NA,NA,727,0.73,123.4,NA,259,NA,NA,NA,NA,NA,NA,NA,NA,60,14,14,14,14,12.04,#24241f,0,0,100,100,100,100,#ffffff,stabilized,stabilized,1.039533616,0.328890813,0.864859731,0.411253457,0.641290462,0.528042924,140,70,NA,NA,NA,57,0.63,2.596939124,3.895408686,NA,NA,5.453572161,2.72678608,28.70301137,2.220382951,23.37245212,Kabulonga,Household,NA,Household,NA,16,Cement block walls,NA,NA,Metal sheets,NA,NA,Retired,Tertiary education,NA,I don't kNow,Septic tank,Septic tank,NA,Yes,No,NA,Cistern flush,wet,19,13,Paper,No,NA,Biadditives,Toilet Bathing Kitchen,No,Yes,5,Yes,-15.41548709,28.34926101,4.9,yes
008.B.2019.09.24,8,NA,Stabilized,NA,Yes,10,7.577,1.144,NA,NA,low,liquid,NA,NA,NA,NA,NA,551,0.55,40.3,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,72,13,15,14.61,15,13.05,#252621,NA,NA,NA,NA,NA,NA,NA,stabilized,NA,0.346996685,0.278267873,0.86572969,0.253060564,0.503051254,0.76255341,230,150,NA,NA,NA,78,NA,4.723772469,4.723772469,NA,NA,10.86467668,7.085658703,40.25942445,3.684542526,41.86980143,Kabulonga,Household,NA,Household,NA,3,Cement block walls,NA,NA,Asbestos,NA,NA,Retired,Tertiary education,NA,I don't kNow,Septic tank,Septic tank,NA,I don't kNow,I don't kNow,NA,Cistern flush,wet,4,22,Paper,No,NA,No,Kitchen Laundry Bathing Toilet,I don't know,Yes,I don't know,I don't kNow,-15.41952745,28.3508269,4.9,no
009.B.2019.09.24,9,NA,Stabilized,NA,No,0,7.784,13.64,NA,NA,high,textured,NA,NA,NA,NA,NA,2745,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,41,31,31,29.30533333,18.29,#4f4b2f,NA,NA,NA,NA,NA,NA,NA,middle,NA,3.595752551,0.819995748,0.716695272,0.080798538,0.284250836,0.781388648,150,75,NA,NA,NA,NA,0.67,0.804314887,0.804314887,NA,NA,1.20647233,0.603236165,2.393794306,NA,NA,Kamanda,Household,NA,Household,NA,8,Cement block walls,NA,NA,Metal sheets,NA,NA,Self employed,Primary education,NA,0-500 ZMK,Lined pit latrine - Not sealed,Pit latrine,NA,NA,No,NA,Dry toilet,dry,21,6,Paper,No,NA,Ash,Laundry,I don't know,No,Never emptied,No,-15.43785131,28.37576537,4.9,no
001.A.2019.09.24,10,NA,Middle,NA,Yes,15,7.956,6.89,NA,NA,low,liquid,NA,NA,NA,NA,NA,811,0.81,262.4,NA,499,NA,NA,NA,NA,NA,NA,NA,NA,69,16,17,16.592,17,14.28,#2a2b24,42,58,94,94,77.644,39.48,#f0c665,stabilized,middle,0.543089817,0.328133363,0.847967955,0.310947433,0.557626607,0.723164793,227,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New chibolya,Household,NA,Household,5 flats using the same toilet,18,Cement block walls,NA,Three toilets serviced by the one septic tank,Corrugated iron,NA,Iron Sheets have been nailed with metals on top,Business,Secondary education,NA,1001-2000 ZMK,Septic tank,Septic tank,NA,No,Yes,Soak pit,Pour-flush,wet,18,5,Paper,No,NA,Adds some chemicals to avoid smells,Toilet,No,Yes,Never emptied,System has never been emptied,-15.43477934,28.27311272,4.9,yes
002.A.2019.09.24,11,NA,Middle,NA,Yes,10,7.977,2.58,NA,NA,low,liquid,NA,NA,NA,NA,NA,1435,1.45,25.6,NA,167,NA,NA,NA,NA,NA,NA,NA,NA,54,29,27,27,26.217,19.17,#454331,60,1,100,100,100,99,#fffffc,middle,stabilized,0.488866236,0.418427908,0.796761526,0.184547302,0.42958969,0.721414608,132,NA,NA,NA,59,18,0.59,2.72274893,2.72274893,NA,NA,3.594028588,1.987606719,124.2254199,0.490094807,30.63092547,Chibolya Extension,Household,NA,Household,Flats,16,Cement block walls,NA,Flats  ,Corrugated iron,NA,Well done,Business ,Primary education,NA,1001-2000 ZMK,Septic tank,Septic tank,NA,No,No,NA,Cistern flush,wet,16,1,Paper,No,NA,No,Toilet Bathing,No,Yes,Never emptied,System has never been emptied,-15.43353246,28.26840336,4.9,yes
003.A.2019.09.24,12,NA,Fresh,NA,No,0,6.54,10.54,NA,NA,high,textured,NA,NA,NA,NA,NA,2162,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,48,47,47,41.36,24.44,#78693e,NA,NA,NA,NA,NA,NA,NA,fresh,NA,7.048010139,1.360485441,0.5910386,0.040903797,0.202246872,0.725423042,90,NA,NA,NA,NA,NA,NA,1.891179328,1.891179328,NA,NA,1.702061395,1.702061395,11.8198708,NA,NA,John Laing ,Household,NA,Household,Some flats,7,Cement block walls,NA,Well built structures ,Corrugated iron,NA,Iron sheet,Business,I don't want to say,NA,I don't want to say,Lined pit latrine - Not sealed,Pit latrine,NA,NA,No,NA,Dry toilet,dry,36,>2,Paper,Yes,NA,No chemical,Toilet,Yes,No,Never emptied,I don't kNow,-15.43462048,28.26340502,4.9,no
004.A.2019.09.24,13,NA,Stabilized,NA,Yes,10,7.619,2.05,NA,NA,low,liquid,NA,NA,NA,NA,NA,2557,2.56,38.5,NA,90.4,NA,NA,NA,NA,NA,NA,NA,NA,72,12,17,16.592,17,14.96,#2a2b26,0,0,100,100,100,100,#ffffff,stabilized,stabilized,0.25126879,0.229437958,0.887246284,0.439295777,0.662793918,0.602742244,167,NA,NA,NA,NA,NA,0.65,1.918239893,1.918239893,NA,NA,3.203460622,1.956604691,6.987873897,NA,NA,Kanga a site and service,Household,NA,Household,Two flats,14,Cement block walls,NA,Have two systems pit and septic ,Corrugated iron,NA,NA,Mechanical ,Secondary education,NA,I don't kNow,Septic tank,Septic tank,NA,No,No,NA,Cistern flush,wet,14,10,Paper,No,NA,No chemicals are added,Toilet Bathing Laundry Kitchen,I don't know,Yes,I don't know,I don't kNow,-15.42742859,28.26211524,4.9,yes
005.A.2019.09.24,14,NA,Fresh,NA,No,0,7.62,18.21,NA,NA,high,textured,NA,NA,NA,NA,NA,136,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,56,37,37,32.16533333,16.28,#5e522a,NA,NA,NA,NA,NA,NA,NA,fresh,NA,3.363866705,0.864998165,0.6976274,0.066999355,0.258842336,0.886484025,155,65,NA,NA,NA,NA,1.55,1.928746709,1.928746709,NA,NA,2.989557398,1.253685361,7.418256572,NA,NA,Kanga a site and service,Household,NA,Household,Three tenant,13,Cement block walls,NA,Unplasted,Corrugated iron,NA,Iron sheet,Working Elite industries,Secondary education,NA,1001-2000 ZMK,Unlined pit latrine,Pit latrine,NA,NA,No,NA,Dry toilet,dry,13,>13,Paper,Yes,NA,Sometime they add chlorine,Toilet,Yes,No,Never emptied,System has never been emptied,-15.42372054,28.26299453,4.9,no
006.A.2019.09.24,15,NA,Middle,NA,Yes,10,8.227,25,NA,NA,middle,liquid,NA,NA,NA,NA,NA,208,0.21,2478.5,NA,3848,NA,NA,NA,NA,NA,NA,NA,NA,52,41,31,31,29.30533333,18.29,#4f4b2f,29,67,53,53,34.65316667,17.49,#87582d,middle,fresh,1.901342333,0.640289921,0.736914976,0.093807403,0.306279942,0.693172424,205,83,NA,NA,NA,NA,0.83,2.104156283,2.104156283,NA,NA,4.31352038,1.746449715,36.38436906,NA,NA,Kwachkwangala,Household,NA,Household,Stand alone house,4,Cement block walls,NA,Roughly done,Metal sheets,NA,Mixture of sheets,Gaurd at kashembe,Primary education,NA,I don't want to say,Lined pit latrine - Not sealed,Pit latrine,NA,NA,Yes,Open drain,Dry toilet,dry,4,12,Paper,Yes,Diapers,Adds chemicals ,Toilet Bathing,No,No,Never emptied,System has never been emptied,-15.43532064,28.25560885,4.7,yes
007.A.2019.09.25,16,NA,Middle,NA,Yes,10,7.961,3.44,NA,NA,low,liquid,60.12,NA,NA,NA,NA,5115,5.11,149.1,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,72,13,15,14.61,15,13.05,#252621,60,1,100,100,100,99,#fffffc,stabilized,stabilized,1.121270634,0.470439728,0.806374482,0.293509582,0.541765246,0.58940107,185,105,NA,NA,NA,25,0.37,0.158380758,0.237571136,NA,NA,0.439506602,0.249449693,0.037454909,0.059392784,0.017835671,Chilenje South,School,NA,Non-household,Chilenje South secondary school,NA,Cement block walls,NA,NA,Other (please specify),PVC plastic type,There are a few roofs of metal,NA,NA,NA,NA,Septic tank,Septic tank,NA,Yes,No,NA,Cistern flush,wet,1110,I don't know,Paper,Yes,Pads,"Yes desinfectant, chlorine",Toilet,No,Yes,3,I don't kNow,-15.45510583,28.32861775,4.9,yes
008.A.2019.09.25,17,NA,Stabilized,NA,Yes,4,7.688,2.68,2.88,NA,low,liquid,NA,NA,NA,NA,NA,2477,2.48,142.8,49.6,140,NA,NA,NA,NA,NA,NA,NA,NA,72,13,15,14.61,15,13.05,#252621,60,2,100,100,100,98,#fffffa,stabilized,stabilized,2.649871018,0.511216479,0.833677032,0.310487262,0.557213839,0.775804815,144,NA,NA,NA,61,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Matero,School,NA,Non-household,Kizito primary school,NA,Pan brick walls,NA,NA,Other (please specify),Iron sheets,NA,NA,NA,NA,NA,Septic tank,Septic tank,NA,Yes,Yes,Soak pit,Cistern flush,wet,2600,24,Paper,No,NA,No,Toilet,Yes,Yes,0.25,No,-15.38529792,28.24849586,4.7,yes
009.A.2019.09.25,18,NA,Stabilized,NA,No,0,7.952,1.745,NA,NA,low,liquid,NA,NA,NA,NA,NA,1678,1.7,13.5,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,70,14,17,16.60333333,17,14.62,#2a2b25,0,0,100,100,100,100,#ffffff,stabilized,stabilized,0.423313492,0.295271164,0.859045239,0.201187122,0.448538875,0.877328139,240,NA,NA,NA,62,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Matero,School,NA,Non-household,New matero secondary school,NA,Pan bricks,NA,NA,Other (please specify),Iron sheets,NA,NA,NA,NA,NA,Septic tank,Septic tank,NA,Yes,Yes,Soak pit,Cistern flush,wet,2075,26,Paper,No,NA,No,Toilet,No,Yes,10,No,-15.38481882,28.25926542,4.7,yes
010.B.2019.09.30,19,NA,Stabilized,NA,No,0,8.12,16.19,NA,NA,middle,liquid,NA,NA,NA,NA,NA,3836,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,18,11,10.604,11,9.02,#1b1c17,NA,NA,NA,NA,NA,NA,NA,stabilized,NA,0.516876155,0.161229646,0.929767804,0.674963594,0.82156168,0.264101841,130,100,NA,NA,NA,39,0.39,1.00294172,1.00294172,NA,NA,1.303824237,1.00294172,114.6219109,0.391147271,44.70254525,Mutonyo,Household,NA,Household,2 households,29,Blocks,NA,Plastered with mud,Corrugated iron,NA,NA,Businesses ,Secondary education,NA,501-1000 ZMK,Lined pit latrine - completely sealed,Pit latrine,NA,NA,No,NA,Dry toilet,dry,35,5,Paper,Yes,"Plastics, paper",Yes,Toilet,Yes,No,0.25,Yes,-15.39186733,28.2920664,4.9,no
011.B.2019.09.30,20,NA,Stabilized,NA,No,0,7.64,15.56,NA,NA,high,textured,NA,NA,NA,NA,NA,4835,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,36,20,20,19.64,12.8,#333221,NA,NA,NA,NA,NA,NA,NA,middle,NA,5.141539874,0.836893238,0.730151765,0.156836279,0.396025604,0.586601865,200,135,NA,NA,NA,61,0.61,0.46528101,0.46528101,NA,NA,0.930562019,0.628129363,26.17205679,0.283821416,11.82589233,Garden,Household,NA,Household,NA,12,Cement block walls,NA,NA,Corrugated iron,NA,NA,Marketeer,Primary education,NA,0-500 ZMK,Unlined pit latrine,Pit latrine,NA,NA,No,NA,Dry toilet,dry,12,2,Paper,No,NA,No,Toilet,Yes,No,Never emptied,System has never been emptied,-15.388205,28.28817,2.4,no
012.B.2019.09.30,21,NA,Middle,NA,No,0,6.83,10.87,NA,NA,high,textured,NA,NA,NA,NA,NA,4363,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,55,25,25,22.70833333,11.25,#403a1d,NA,NA,NA,NA,NA,NA,NA,fresh,NA,16.59532725,1.790503232,0.627918456,0.067420576,0.259654724,0.546838352,145,80,NA,NA,NA,63,0.63,1.231333076,1.231333076,NA,NA,1.78543296,0.985066461,41.04443586,0.775739838,32.32249324,Garden,Household,NA,Household,NA,4,Cement block walls,NA,NA,Corrugated iron,NA,NA,Owns a bar,Primary education,NA,501-1000 ZMK,Lined pit latrine - Not sealed,Pit latrine,NA,NA,No,NA,Pour-flush,wet,4,6,Paper,No,NA,NA,Toilet,No,No,Never emptied,System has never been emptied,-15.385705,28.29037167,4.7,no
013.B.2019.09.30,22,NA,Stabilized,NA,Yes,5,7.92,3.04,NA,NA,low,liquid,NA,NA,NA,NA,NA,691,0.7,240.9,NA,313,NA,NA,NA,NA,NA,NA,NA,NA,50,23,10,10,9.616666667,7.7,#1a1914,50,41,91,91,84.78166667,53.69,#e8d889,stabilized,stabilized,0.357939914,0.357293488,0.821417899,0.307727528,0.554731943,0.229707769,190,20,NA,NA,NA,151,1.51,2.984452412,2.984452412,NA,NA,5.670459582,0.596890482,54.26277112,4.506523142,409.683922,Ngombe,Household,NA,Household,NA,11,Cement block walls,NA,NA,Corrugated iron,NA,NA,Business,Tertiary education,NA,1001-2000 ZMK,Septic tank,Septic tank,NA,No,Yes,Soak pit,Pour-flush,wet,11,1,Paper,No,NA,NA,Toilet Bathing,No,No,Never emptied,System has never been emptied,-15.36868,28.33238667,4.7,yes
014.B.2019.10.01,23,NA,Stabilized,NA,No,0,8.07,2.78,NA,NA,low,liquid,NA,NA,NA,NA,NA,759,0.8,216.5,NA,1027,NA,NA,NA,NA,NA,NA,NA,NA,50,33,7,7,6.615,4.69,#12110c,37,75,59,59,42.0375,14.75,#966b26,stabilized,fresh,0.64980133,0.357098126,0.82947072,0.294057376,0.542270575,0.344569244,190,23,NA,NA,NA,93,0.98,1.593016374,1.593016374,NA,NA,3.026731111,0.366393766,1.017760461,1.481505228,4.1152923,Kabulonga,Household,NA,Household,NA,6,Brick walls,NA,NA,Roof tiles,NA,NA,Civil Servant,Postgraduate education or higher,NA,>2000 ZMK,Septic tank,Septic tank,NA,No,Yes,Soak pit,Cistern flush,wet,6,60,Paper,No,NA,No,Toilet Bathing Laundry Kitchen,No,Yes,Never emptied,System has never been emptied,-15.42087465,28.34652794,4.9,yes
015.B.2019.10.01,24,NA,Stabilized,NA,No,0,8.1,13.93,NA,NA,high,textured,NA,NA,NA,NA,NA,6178,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,20,12,11.6,12,9.6,#1e1f18,NA,NA,NA,NA,NA,NA,NA,stabilized,NA,7.338986078,0.765460311,0.812988666,0.300393194,0.548081375,0.599692738,150,75,NA,NA,NA,70,0.69,0.368938346,0.368938346,NA,NA,0.55340752,0.27670376,23.05864666,0.258256843,21.52140355,Rhodes Park,Household,NA,Household,NA,4,Brick walls,NA,NA,Corrugated iron,NA,NA,Construction worker,Secondary education,NA,>2000 ZMK,Lined pit latrine - Not sealed,Pit latrine,NA,NA,No,NA,Dry toilet,dry,4,3,Paper,No,NA,No,Toilet,No,No,Never emptied,System has never been emptied,-15.4161462,28.29794495,4.9,no
016.B.2019.10.01,25,NA,Stabilized,NA,No,0,8.88,14.69,NA,NA,high,textured,NA,NA,NA,NA,NA,5618,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,23,10,9.616666667,10,7.7,#191a14,NA,NA,NA,NA,NA,NA,NA,stabilized,NA,11.01321003,1.094060373,0.762705227,0.178352176,0.422317625,0.698138362,120,60,NA,NA,NA,63,0.63,1.553016676,1.553016676,NA,NA,1.863620011,0.931810005,8.102695699,0.978400506,8.507830484,Rhodes Park,Household,NA,Household,NA,25,Brick walls,NA,NA,Asbestos,NA,NA,Enterprenuer,Primary education,NA,1001-2000 ZMK,Unlined pit latrine,Pit latrine,NA,NA,No,NA,Dry toilet,dry,23,5,Paper,Yes,Plastics,No,Toilet,I don't know,No,Never emptied,System has never been emptied,-15.40848,28.29539167,4.6,no
017.B.2019.10.01,26,NA,Stabilized,NA,Yes,5,7.75,1.933,NA,NA,low,liquid,NA,NA,NA,NA,NA,468,0.5,114.9,NA,367,NA,NA,NA,NA,NA,NA,NA,NA,70,26,9,8.61,9,6.66,#161711,52,29,95,95,91.32666667,67.45,#f2e9ac,stabilized,stabilized,0.29451926,0.293624528,0.853275056,0.407752602,0.638555089,0.240033193,185,135,NA,NA,NA,45,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kalundu,Household,NA,Household,NA,15,Cement block walls,NA,NA,Asbestos,NA,Part used currugated iron sheets,Lecturer,Postgraduate education or higher,NA,>2000 ZMK,Septic tank,Septic tank,NA,Yes,Yes,Soak pit,Cistern flush,wet,15,>20,Paper,Yes,Plastics,No,Toilet Bathing Laundry Kitchen,No,Yes,Never emptied,System has never been emptied,-15.38573751,28.32685853,4.9,yes
018.B.2019.10.01,27,NA,Stabilized,NA,Yes,4,7.92,1.368,NA,NA,low,liquid,NA,NA,NA,NA,NA,503,0.5,15.7,NA,25.1,NA,NA,NA,NA,NA,NA,NA,NA,48,26,7,7,6.636,5.18,#12110d,60,2,99,99,99,97.02,#fcfcf7,stabilized,stabilized,0.303539194,0.301285109,0.849582854,0.403717474,0.635387657,0.347617572,300,190,NA,NA,NA,65,0.65,5.021072224,7.531608337,NA,NA,22.59482501,14.31005584,286.2011168,4.895545419,97.91090838,Kalundu,Household,NA,Household,NA,10,Cement block walls,NA,NA,Roof tiles,NA,NA,Enterprenuer,Tertiary education,NA,>2000 ZMK,Septic tank,Septic tank,NA,Yes,No,NA,Cistern flush,wet,10,5,Paper,No,NA,No,Toilet Bathing Kitchen Laundry,Yes,Yes,Never emptied,System has never been emptied,-15.37935,28.33435333,4.2,yes
019.B.2019.10.01,28,NA,Middle,NA,No,0,11.54,4.6,NA,NA,middle,liquid,NA,NA,NA,NA,NA,406,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,24,13,13,12.584,9.88,#212019,NA,NA,NA,NA,NA,NA,NA,stabilized,NA,1.011325104,0.303556216,0.870552145,0.28570057,0.534509653,0.621057671,185,145,NA,NA,NA,45,0.45,1.740296952,1.740296952,NA,NA,3.219549361,2.52343058,233.6509796,0.783133628,145.024746,Hansworth,Household,NA,Household,NA,18,Cement block walls,NA,NA,Asbestos,NA,NA,Business man,Tertiary education,NA,>2000 ZMK,Septic tank,Septic tank,NA,No,No,NA,Cistern flush,wet,18,>50,Paper,Yes,Plastics,Lime,Toilet Bathing Laundry Kitchen,No,Yes,0.3,No,-15.38829701,28.34089689,4.9,no
010.A.2019.09.30,29,NA,Middle,NA,No,0,7.9,19.04,NA,NA,high,textured,NA,NA,NA,NA,NA,7376,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,38,18,18,17.202,11.16,#2e2c1c,NA,NA,NA,NA,NA,NA,NA,middle,NA,6.31411309,0.960280058,0.734884092,0.120713017,0.347437789,0.65860568,140,115,NA,NA,NA,NA,0.49,1.226985711,1.226985711,NA,NA,1.717779995,1.411033567,8.39900933,NA,NA,Kanga a kuchimutengo,Household,NA,Household,A number of households using the toilet,14,Cement block walls,NA,Nicely done,Corrugated iron,NA,Proper,Sales man DK enterprise,Secondary education,NA,>2000 ZMK,Lined pit latrine - completely sealed,Pit latrine,NA,NA,No,NA,Dry toilet,dry,14,>10,Paper,Yes,"Cloths, dipers",Adds chemicals to dissolve the staff,Bathing,No,Yes,6,No,-15.44025442,28.25293546,4.9,no
011.A.2019.09.30,30,NA,Stabilized,NA,No,0,8.16,15.4,NA,NA,high,textured,NA,NA,NA,NA,NA,4092,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,22,16,16,15.58933333,12.48,#292820,NA,NA,NA,NA,NA,NA,NA,stabilized,NA,14.13861445,1.437945096,0.697267656,0.121036773,0.347903396,0.482765809,270,155,NA,NA,NA,NA,0.49,2.060304601,2.060304601,NA,NA,5.562822422,3.193472131,13.14186062,NA,NA,Makeni Simoson,Household,NA,Household,Flats,27,Cement block walls,NA,Neaty,Other (please specify),No roof,It's open,Business,Secondary education,NA,>2000 ZMK,Lined pit latrine - completely sealed,Pit latrine,NA,NA,No,NA,Dry toilet,dry,27,>9,Paper,Yes,Dipper ,Chemicals to reduce the sludge,Bathing,Yes,No,Never emptied,System has never been emptied,-15.44019474,28.24898914,4.9,no
012.A.2019.09.30,31,NA,Stabilized,NA,No,0,7.76,9.6,22.02,NA,high,textured,36.94,NA,NA,NA,NA,2565,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,38,16,16,15.59466667,9.92,#292819,NA,NA,NA,NA,NA,NA,NA,middle,NA,9.154246403,1.032587895,0.754700827,0.163632254,0.404514837,0.597583149,90,45,NA,NA,NA,NA,0.62,2.476524051,2.476524051,NA,NA,2.228871646,1.114435823,7.143819378,NA,NA,Masauko,Household,NA,Household,Four door flats,12,Cement block walls,NA,Simple flats,Corrugated iron,NA,Simple roof,Air-conditioned desstral,Primary education,NA,1001-2000 ZMK,Lined pit latrine - Not sealed,Pit latrine,NA,NA,Yes,Sewer,Dry toilet,dry,12,13,Paper,Yes,NA,They do Not add chemicals,Bathing,Yes,No,Never emptied,System has never been emptied,-15.43582358,28.24833302,4.9,no
